company_key,company_name,country,erp_detected,first_seen,last_seen,times_seen,best_evidence_type,best_evidence_url,best_evidence_title,best_snippet,source_owner,status,status_note,status_date
albertslund kommune|denmark,Albertslund Kommune,Denmark,Dynamics AX / Axapta,2026-04-21,2026-04-21,1,job_ad,https://www.jobleads.com/dk/job/application-management-manager--albertslund-kommune--ef9504599473eb2a1c3aaaa88af6958d8,Application Management Manager | Albertslund Kommune - JobLeads,"Application Management Manager | Albertslund Kommune - JobLeads Act as primary contact for business stakeholders regarding Axapta functionality. Manage incidents, service requests, and problem resolutions. Skills. ERP ...",Jobleads,new,,
ascendis|denmark,Ascendis,Denmark,D365FO,2026-04-21,2026-04-21,1,job_ad,https://apply.workable.com/ascendis-pharma/j/36DC1D5FD3/apply/,IT Business Analyst with D365FO Finance knowledge - Application,IT Business Analyst with D365FO Finance knowledge - Application Are you passionate about creating value for our Finance function and Ascendis as a whole? Do you have experience with Finance business Processes and D365FO?,Apply,new,,
ascendis pharma|denmark,Ascendis Pharma,Denmark,D365FO,2026-04-21,2026-04-21,1,job_ad,https://jobsinenglish.dk/ads/ascendis-pharma-it-business-analyst-with-d365-fi-knowledge-20260310/,IT Business Analyst with D365 FI knowledge - Ascendis Pharma,IT Business Analyst with D365 FI knowledge - Ascendis Pharma At least 3 years of experience with D365FO; Experience with integrations and system testing; Experience working in an agile setting; Experience ...,Jobsinenglish,new,,
banking circle|denmark,Banking Circle,Denmark,D365FO,2026-04-21,2026-04-21,1,job_ad,https://capaxrecruitment.dk/project/d365fo/,Senior Development Engineer for D365FO - Capax Recruitment,Senior Development Engineer for D365FO - Capax Recruitment We are on behalf of Banking Circle looking for an Senior Development Engineer for D365FO. Read more about the position here.,Capaxrecruitment,new,,
despec|denmark,Despec,Denmark,Dynamics AX / Axapta,2026-04-21,2026-04-21,1,direct_mention,https://www.despec.dk/media/5681/team-leaderdk2020.pdf,[PDF] Team leader til vores lager - aftenholdet,"[PDF] Team leader til vores lager - aftenholdet Du er vant til at arbejde med IT – vi bruger Dynamics AX og Consignor udover Apport. •. Du har et stort overblik, så du kan holde styr på, at opgaverne kommer ...",Despec,new,,
eva solo|denmark,Eva Solo,Denmark,D365FO,2026-04-21,2026-04-21,1,job_ad,https://cepheo.com/our-customers/eva-solo-is-ready-for-the-future-with-microsoft-dynamics-365/,Dynamics 365 customer case | Eva Solo - Cepheo,Dynamics 365 customer case | Eva Solo - Cepheo Retail ERP Denmark Case. Eva Solo is ready for the future with Microsoft ... Dynamics 365 Finance and Supply Chain Management to be a better fit for its ...,Cepheo,new,,
fiskars group|denmark,Fiskars Group,Denmark,Dynamics AX / Axapta,2026-04-21,2026-04-21,1,job_ad,https://jobsinenglish.dk/ads/fiskars-group-application-management-manager-20260414/,Application Management Manager - Fiskars Group | Denmark Jobs,Application Management Manager - Fiskars Group | Denmark Jobs Fiskars Group is seeking an Application Manager with solid expertise in Microsoft Dynamics AX (Axapta) and strong technical and business ...,Jobsinenglish,new,,
from planning|denmark,From Planning,Denmark,D365FO,2026-04-21,2026-04-21,1,case_study,https://levelshift.com/blogs/dynamics-365-fo-implementation-roadmap,Dynamics 365 F&O Implementation Roadmap: From Planning to Go ...,Dynamics 365 F&O Implementation Roadmap: From Planning to Go ... ... go-live ... Dynamics 365 Finance & Operations (D365 F&O) is no exception. But organizations that approach implementation with the right foundations ...,Levelshift,new,,
garrets|denmark,Garrets,Denmark,Dynamics AX / Axapta,2026-04-21,2026-04-21,1,web_mention,https://www.garrets.com/scripts/od_ws.php?id=995&app=Garrets&mode%5BgeneratePDF%5D=1&iPageID=130230100005089,[PDF] S T O C K TA K I N G A S S I S TA N T - D E N M A R K - Garrets,"[PDF] S T O C K TA K I N G A S S I S TA N T - D E N M A R K - Garrets This job gives you direct impact on results, and requires a mature attitude - where you go home, when the job is done. ... Experience with Axapta is an advantage.",Garrets,new,,
green factory boosts s&op with jedox and fellowmind|denmark,Green Factory boosts S&OP with Jedox and Fellowmind,Denmark,D365FO,2026-04-21,2026-04-21,1,partner_case_scraped,https://www.fellowmind.com/en/cases/green-factory/,Green Factory boosts S&OP with Jedox and Fellowmind,"ntegrating actuals into data platforms was not straightforward. ## Jedox enables system-level planning short- and long-term The chosen solution was the Jedox planning tool, implemented as part of the ERP implementation. The delivery included demand planning, production optimization, and Microsoft Dynamics 365 Finance & Supply Chain Management integration. Jedox enables system-level planning for bo",Fellowmind Denmark,actioned_crm,,2026-04-21
